10-Mar-08       119.69
10-Jun-09       140.25
10-Jun-08       185.64
10-Jul-09       138.52
10-Jul-08       176.63
10-Jul-07       132.35
10-Jan-08       178.02
10-Feb-09       97.83
10-Dec-08       98.21
10-Dec-07       194.21
10-Aug-09       164.72
10-Aug-07       125.00
10-Apr-09       119.57
10-Apr-08       154.55
